Name	Type	Width	Decimal	NULL																																																																																																																																																																																																																		
reps_g3f	Character	3	0	TRUE	reps_g3f varchar(3) null																																																																																																																																																																																																																	
reps_g5f	Character	3	0	TRUE	reps_g5f varchar(3) null																																																																																																																																																																																																																	
reps_g7f	Character	3	0	TRUE	reps_g7f varchar(3) null																																																																																																																																																																																																																	
reps_g1t	Character	3	0	TRUE	reps_g1t varchar(3) null																																																																																																																																																																																																																	
repsc_g1f	Character	3	0	TRUE	repsc_g1f varchar(3) null																																																																																																																																																																																																																	
repsc_g3f	Character	3	0	TRUE	repsc_g3f varchar(3) null																																																																																																																																																																																																																	
repsc_g5f	Character	3	0	TRUE	repsc_g5f varchar(3) null																																																																																																																																																																																																																	
repsc_g7f	Character	3	0	TRUE	repsc_g7f varchar(3) null																																																																																																																																																																																																																	
repsc_g1t	Character	3	0	TRUE	repsc_g1t varchar(3) null																																																																																																																																																																																																																	
rcfps_g1f	Character	3	0	TRUE	rcfps_g1f varchar(3) null																																																																																																																																																																																																																	
rcfps_g3f	Character	3	0	TRUE	rcfps_g3f varchar(3) null																																																																																																																																																																																																																	
rcfps_g5f	Character	3	0	TRUE	rcfps_g5f varchar(3) null																																																																																																																																																																																																																	
rcfps_g7f	Character	3	0	TRUE	rcfps_g7f varchar(3) null																																																																																																																																																																																																																	
rcfps_g1t	Character	3	0	TRUE	rcfps_g1t varchar(3) null																																																																																																																																																																																																																	
rfcfps_g1f	Character	3	0	TRUE	rfcfps_g1f varchar(3) null																																																																																																																																																																																																																	
rfcfps_g3f	Character	3	0	TRUE	rfcfps_g3f varchar(3) null																																																																																																																																																																																																																	
rfcfps_g5f	Character	3	0	TRUE	rfcfps_g5f varchar(3) null																																																																																																																																																																																																																	
rfcfps_g7f	Character	3	0	TRUE	rfcfps_g7f varchar(3) null																																																																																																																																																																																																																	
rfcfps_g1t	Character	3	0	TRUE	rfcfps_g1t varchar(3) null																																																																																																																																																																																																																	
rdps_g1f	Character	3	0	TRUE	rdps_g1f varchar(3) null																																																																																																																																																																																																																	
rdps_g3f	Character	3	0	TRUE	rdps_g3f varchar(3) null																																																																																																																																																																																																																	
rdps_g5f	Character	3	0	TRUE	rdps_g5f varchar(3) null																																																																																																																																																																																																																	
rdps_g7f	Character	3	0	TRUE	rdps_g7f varchar(3) null																																																																																																																																																																																																																	
rdps_g1t	Character	3	0	TRUE	rdps_g1t varchar(3) null																																																																																																																																																																																																																	
rsales_12m	Character	3	0	TRUE	rsales_12m varchar(3) null																																																																																																																																																																																																																	
rsales_y1	Character	3	0	TRUE	rsales_y1 varchar(3) null																																																																																																																																																																																																																	
rsales_y2	Character	3	0	TRUE	rsales_y2 varchar(3) null																																																																																																																																																																																																																	
rsales_y3	Character	3	0	TRUE	rsales_y3 varchar(3) null																																																																																																																																																																																																																	
rsales_y4	Character	3	0	TRUE	rsales_y4 varchar(3) null																																																																																																																																																																																																																	
rsales_y5	Character	3	0	TRUE	rsales_y5 varchar(3) null																																																																																																																																																																																																																	
rgpm_12m	Character	3	0	TRUE	rgpm_12m varchar(3) null																																																																																																																																																																																																																	
rgpm_y1	Character	3	0	TRUE	rgpm_y1 varchar(3) null																																																																																																																																																																																																																	
rgpm_y2	Character	3	0	TRUE	rgpm_y2 varchar(3) null																																																																																																																																																																																																																	
rgpm_y3	Character	3	0	TRUE	rgpm_y3 varchar(3) null																																																																																																																																																																																																																	
rgpm_y4	Character	3	0	TRUE	rgpm_y4 varchar(3) null																																																																																																																																																																																																																	
rgpm_y5	Character	3	0	TRUE	rgpm_y5 varchar(3) null																																																																																																																																																																																																																	
rnpm_12m	Character	3	0	TRUE	rnpm_12m varchar(3) null																																																																																																																																																																																																																	
rnpm_y1	Character	3	0	TRUE	rnpm_y1 varchar(3) null																																																																																																																																																																																																																	
rnpm_y2	Character	3	0	TRUE	rnpm_y2 varchar(3) null																																																																																																																																																																																																																	
rnpm_y3	Character	3	0	TRUE	rnpm_y3 varchar(3) null																																																																																																																																																																																																																	
rnpm_y4	Character	3	0	TRUE	rnpm_y4 varchar(3) null																																																																																																																																																																																																																	
rnpm_y5	Character	3	0	TRUE	rnpm_y5 varchar(3) null																																																																																																																																																																																																																	
rpayout_12	Character	3	0	TRUE	rpayout_12 varchar(3) null																																																																																																																																																																																																																	
rpayout_y1	Character	3	0	TRUE	rpayout_y1 varchar(3) null																																																																																																																																																																																																																	
rpayout_y2	Character	3	0	TRUE	rpayout_y2 varchar(3) null																																																																																																																																																																																																																	
rpayout_y3	Character	3	0	TRUE	rpayout_y3 varchar(3) null																																																																																																																																																																																																																	
