Name	Type	Width	Decimal	NULL																																																																																				
dep_cf_y4	Character	8	0	TRUE	dep_cf_y4 varchar(8) null																																																																																			
dep_cf_y5	Character	8	0	TRUE	dep_cf_y5 varchar(8) null																																																																																			
dep_cf_y6	Character	8	0	TRUE	dep_cf_y6 varchar(8) null																																																																																			
dep_cf_y7	Character	8	0	TRUE	dep_cf_y7 varchar(8) null																																																																																			
cfps_12m	Character	7	0	TRUE	cfps_12m varchar(7) null																																																																																			
cfps_y1	Character	7	0	TRUE	cfps_y1 varchar(7) null																																																																																			
cfps_y2	Character	7	0	TRUE	cfps_y2 varchar(7) null																																																																																			
cfps_y3	Character	7	0	TRUE	cfps_y3 varchar(7) null																																																																																			
cfps_y4	Character	7	0	TRUE	cfps_y4 varchar(7) null																																																																																			
cfps_y5	Character	7	0	TRUE	cfps_y5 varchar(7) null																																																																																			
cfps_y6	Character	7	0	TRUE	cfps_y6 varchar(7) null																																																																																			
cfps_y7	Character	7	0	TRUE	cfps_y7 varchar(7) null																																																																																			
fcfps_12m	Character	7	0	TRUE	fcfps_12m varchar(7) null																																																																																			
fcfps_y1	Character	7	0	TRUE	fcfps_y1 varchar(7) null																																																																																			
fcfps_y2	Character	7	0	TRUE	fcfps_y2 varchar(7) null																																																																																			
fcfps_y3	Character	7	0	TRUE	fcfps_y3 varchar(7) null																																																																																			
fcfps_y4	Character	7	0	TRUE	fcfps_y4 varchar(7) null																																																																																			
fcfps_y5	Character	7	0	TRUE	fcfps_y5 varchar(7) null																																																																																			
fcfps_y6	Character	7	0	TRUE	fcfps_y6 varchar(7) null																																																																																			
fcfps_y7	Character	7	0	TRUE	fcfps_y7 varchar(7) null																																																																																			
tco_y8	Character	8	0	TRUE	tco_y8 varchar(8) null																																																																																			
ncc_y8	Character	8	0	TRUE	ncc_y8 varchar(8) null																																																																																			
cfps_y8	Character	7	0	TRUE	cfps_y8 varchar(7) null																																																																																			
fcfps_y8	Character	7	0	TRUE	fcfps_y8 varchar(7) null																																																																																			
ce_y8	Character	8	0	TRUE	ce_y8 varchar(8) null																																																																																			
repno	Character	5	0	FALSE	repno varchar(5) not null																																																																																			
lastmod	Date	8	0	TRUE	lastmod date null																																																																																			
updated	Logical	1	0	TRUE	updated bit null																																																																																			
divpaid_y1	Character	8	0	TRUE	divpaid_y1 varchar(8) null																																																																																			
divpaid_y2	Character	8	0	TRUE	divpaid_y2 varchar(8) null																																																																																			
divpaid_y3	Character	8	0	TRUE	divpaid_y3 varchar(8) null																																																																																			
divpaid_y4	Character	8	0	TRUE	divpaid_y4 varchar(8) null																																																																																			
divpaid_y5	Character	8	0	TRUE	divpaid_y5 varchar(8) null																																																																																			
divpaid_y6	Character	8	0	TRUE	divpaid_y6 varchar(8) null																																																																																			
divpaid_y7	Character	8	0	TRUE	divpaid_y7 varchar(8) null																																																																																			
divpaid_12	Character	8	0	TRUE	divpaid_12 varchar(8) null																																																																																			
																																																																																								
company_id varchar(8) not null	tco_12m varchar(8) null	tco_y1 varchar(8) null	tco_y2 varchar(8) null	tco_y3 varchar(8) null	tco_y4 varchar(8) null	tco_y5 varchar(8) null	tco_y6 varchar(8) null	tco_y7 varchar(8) null	ce_12m varchar(8) null	ce_y1 varchar(8) null	ce_y2 varchar(8) null	ce_y3 varchar(8) null	ce_y4 varchar(8) null	ce_y5 varchar(8) null	ce_y6 varchar(8) null	ce_y7 varchar(8) null	tci_12m varchar(8) null	tci_y1 varchar(8) null	tci_y2 varchar(8) null	tci_y3 varchar(8) null	tci_y4 varchar(8) null	tci_y5 varchar(8) null	tci_y6 varchar(8) null	tci_y7 varchar(8) null	tcf_12m varchar(8) null	tcf_y1 varchar(8) null	tcf_y2 varchar(8) null	tcf_y3 varchar(8) null	tcf_y4 varchar(8) null	tcf_y5 varchar(8) null	tcf_y6 varchar(8) null	tcf_y7 varchar(8) null	ere_12m varchar(8) null	ere_y1 varchar(8) null	ere_y2 varchar(8) null	ere_y3 varchar(8) null	ere_y4 varchar(8) null	ere_y5 varchar(8) null	ere_y6 varchar(8) null	ere_y7 varchar(8) null	ncc_12m varchar(8) null	ncc_y1 varchar(8) null	ncc_y2 varchar(8) null	ncc_y3 varchar(8) null	ncc_y4 varchar(8) null	ncc_y5 varchar(8) null	ncc_y6 varchar(8) null	ncc_y7 varchar(8) null	dep_cf_12m varchar(8) null	dep_cf_y1 varchar(8) null	dep_cf_y2 varchar(8) null	dep_cf_y3 varchar(8) null	dep_cf_y4 varchar(8) null	dep_cf_y5 varchar(8) null	dep_cf_y6 varchar(8) null	dep_cf_y7 varchar(8) null	cfps_12m varchar(7) null	cfps_y1 varchar(7) null	cfps_y2 varchar(7) null	cfps_y3 varchar(7) null	cfps_y4 varchar(7) null	cfps_y5 varchar(7) null	cfps_y6 varchar(7) null	cfps_y7 varchar(7) null	fcfps_12m varchar(7) null	fcfps_y1 varchar(7) null	fcfps_y2 varchar(7) null	fcfps_y3 varchar(7) null	fcfps_y4 varchar(7) null	fcfps_y5 varchar(7) null	fcfps_y6 varchar(7) null	fcfps_y7 varchar(7) null	tco_y8 varchar(8) null	ncc_y8 varchar(8) null	cfps_y8 varchar(7) null	fcfps_y8 varchar(7) null	ce_y8 varchar(8) null	repno varchar(5) not null	lastmod date null	updated bit null	divpaid_y1 varchar(8) null	divpaid_y2 varchar(8) null	divpaid_y3 varchar(8) null	divpaid_y4 varchar(8) null	divpaid_y5 varchar(8) null	divpaid_y6 varchar(8) null	divpaid_y7 varchar(8) null	divpaid_12 varchar(8) null
