Name	Type	Width	Decimal	NULL																																																																																																																																																														
curr_y6	Character	6	0	TRUE	curr_y6 varchar(6) null																																																																																																																																																													
curr_y7	Character	6	0	TRUE	curr_y7 varchar(6) null																																																																																																																																																													
quick_q1	Character	6	0	TRUE	quick_q1 varchar(6) null																																																																																																																																																													
quick_y1	Character	6	0	TRUE	quick_y1 varchar(6) null																																																																																																																																																													
quick_y2	Character	6	0	TRUE	quick_y2 varchar(6) null																																																																																																																																																													
quick_y3	Character	6	0	TRUE	quick_y3 varchar(6) null																																																																																																																																																													
quick_y4	Character	6	0	TRUE	quick_y4 varchar(6) null																																																																																																																																																													
quick_y5	Character	6	0	TRUE	quick_y5 varchar(6) null																																																																																																																																																													
quick_y6	Character	6	0	TRUE	quick_y6 varchar(6) null																																																																																																																																																													
quick_y7	Character	6	0	TRUE	quick_y7 varchar(6) null																																																																																																																																																													
tl_ta_q1	Character	6	0	TRUE	tl_ta_q1 varchar(6) null																																																																																																																																																													
tl_ta_y1	Character	6	0	TRUE	tl_ta_y1 varchar(6) null																																																																																																																																																													
tl_ta_y2	Character	6	0	TRUE	tl_ta_y2 varchar(6) null																																																																																																																																																													
tl_ta_y3	Character	6	0	TRUE	tl_ta_y3 varchar(6) null																																																																																																																																																													
tl_ta_y4	Character	6	0	TRUE	tl_ta_y4 varchar(6) null																																																																																																																																																													
tl_ta_y5	Character	6	0	TRUE	tl_ta_y5 varchar(6) null																																																																																																																																																													
tl_ta_y6	Character	6	0	TRUE	tl_ta_y6 varchar(6) null																																																																																																																																																													
tl_ta_y7	Character	6	0	TRUE	tl_ta_y7 varchar(6) null																																																																																																																																																													
ltd_tc_q1	Character	6	0	TRUE	ltd_tc_q1 varchar(6) null																																																																																																																																																													
ltd_tc_y1	Character	6	0	TRUE	ltd_tc_y1 varchar(6) null																																																																																																																																																													
ltd_tc_y2	Character	6	0	TRUE	ltd_tc_y2 varchar(6) null																																																																																																																																																													
ltd_tc_y3	Character	6	0	TRUE	ltd_tc_y3 varchar(6) null																																																																																																																																																													
ltd_tc_y4	Character	6	0	TRUE	ltd_tc_y4 varchar(6) null																																																																																																																																																													
ltd_tc_y5	Character	6	0	TRUE	ltd_tc_y5 varchar(6) null																																																																																																																																																													
ltd_tc_y6	Character	6	0	TRUE	ltd_tc_y6 varchar(6) null																																																																																																																																																													
ltd_tc_y7	Character	6	0	TRUE	ltd_tc_y7 varchar(6) null																																																																																																																																																													
ltd_eq_q1	Character	6	0	TRUE	ltd_eq_q1 varchar(6) null																																																																																																																																																													
ltd_eq_y1	Character	6	0	TRUE	ltd_eq_y1 varchar(6) null																																																																																																																																																													
ltd_eq_y2	Character	6	0	TRUE	ltd_eq_y2 varchar(6) null																																																																																																																																																													
ltd_eq_y3	Character	6	0	TRUE	ltd_eq_y3 varchar(6) null																																																																																																																																																													
ltd_eq_y4	Character	6	0	TRUE	ltd_eq_y4 varchar(6) null																																																																																																																																																													
ltd_eq_y5	Character	6	0	TRUE	ltd_eq_y5 varchar(6) null																																																																																																																																																													
ltd_eq_y6	Character	6	0	TRUE	ltd_eq_y6 varchar(6) null																																																																																																																																																													
ltd_eq_y7	Character	6	0	TRUE	ltd_eq_y7 varchar(6) null																																																																																																																																																													
invtrn_12m	Character	6	0	TRUE	invtrn_12m varchar(6) null																																																																																																																																																													
invtrn_y1	Character	6	0	TRUE	invtrn_y1 varchar(6) null																																																																																																																																																													
invtrn_y2	Character	6	0	TRUE	invtrn_y2 varchar(6) null																																																																																																																																																													
invtrn_y3	Character	6	0	TRUE	invtrn_y3 varchar(6) null																																																																																																																																																													
invtrn_y4	Character	6	0	TRUE	invtrn_y4 varchar(6) null																																																																																																																																																													
invtrn_y5	Character	6	0	TRUE	invtrn_y5 varchar(6) null																																																																																																																																																													
invtrn_y6	Character	6	0	TRUE	invtrn_y6 varchar(6) null																																																																																																																																																													
invtrn_y7	Character	6	0	TRUE	invtrn_y7 varchar(6) null																																																																																																																																																													
ta_trn_12m	Character	6	0	TRUE	ta_trn_12m varchar(6) null																																																																																																																																																													
ta_trn_y1	Character	6	0	TRUE	ta_trn_y1 varchar(6) null																																																																																																																																																													
ta_trn_y2	Character	6	0	TRUE	ta_trn_y2 varchar(6) null																																																																																																																																																													
ta_trn_y3	Character	6	0	TRUE	ta_trn_y3 varchar(6) null																																																																																																																																																													
ta_trn_y4	Character	6	0	TRUE	ta_trn_y4 varchar(6) null																																																																																																																																																													
ta_trn_y5	Character	6	0	TRUE	ta_trn_y5 varchar(6) null																																																																																																																																																													
ta_trn_y6	Character	6	0	TRUE	ta_trn_y6 varchar(6) null																																																																																																																																																													
ta_trn_y7	Character	6	0	TRUE	ta_trn_y7 varchar(6) null																																																																																																																																																													
ltd_wc_q1	Character	6	0	TRUE	ltd_wc_q1 varchar(6) null																																																																																																																																																													
ptm_12m	Character	6	0	TRUE	ptm_12m varchar(6) null																																																																																																																																																													
rdm_12m	Character	6	0	TRUE	rdm_12m varchar(6) null																																																																																																																																																													
roe_a7y	Character	6	0	TRUE	roe_a7y varchar(6) null																																																																																																																																																													
payout_a7y	Character	6	0	TRUE	payout_a7y varchar(6) null																																																																																																																																																													
opm_a5y	Character	6	0	TRUE	opm_a5y varchar(6) null																																																																																																																																																													
erbv	Character	7	0	TRUE	erbv varchar(7) null																																																																																																																																																													
fscore_12m	Character	1	0	TRUE	fscore_12m varchar(1) null																																																																																																																																																													
fscore_y1	Character	1	0	TRUE	fscore_y1 varchar(1) null																																																																																																																																																													
pr_bv_chg	Character	6	0	TRUE	pr_bv_chg varchar(6) null																																																																																																																																																													
roic_y1	Character	8	0	TRUE	roic_y1 varchar(8) null																																																																																																																																																													
roic_y2	Character	8	0	TRUE	roic_y2 varchar(8) null																																																																																																																																																													
roic_y3	Character	8	0	TRUE	roic_y3 varchar(8) null																																																																																																																																																													
roic_y4	Character	8	0	TRUE	roic_y4 varchar(8) null																																																																																																																																																													
roic_y5	Character	8	0	TRUE	roic_y5 varchar(8) null																																																																																																																																																													
roic_a5y	Character	8	0	TRUE	roic_a5y varchar(8) null																																																																																																																																																													
ldfcf12m	Character	8	0	TRUE	ldfcf12m varchar(8) null																																																																																																																																																													
repno	Character	5	0	FALSE	repno varchar(5) not null																																																																																																																																																													
zscore_y1	Character	8	0	TRUE	zscore_y1 varchar(8) null																																																																																																																																																													
zscore_y2	Character	8	0	TRUE	zscore_y2 varchar(8) null																																																																																																																																																													
zscore_y3	Character	8	0	TRUE	zscore_y3 varchar(8) null																																																																																																																																																													
zscore_y4	Character	8	0	TRUE	zscore_y4 varchar(8) null																																																																																																																																																													
zscore_y5	Character	8	0	TRUE	zscore_y5 varchar(8) null																																																																																																																																																													
zscore_y6	Character	8	0	TRUE	zscore_y6 varchar(8) null																																																																																																																																																													
zscore_y7	Character	8	0	TRUE	zscore_y7 varchar(8) null																																																																																																																																																													
zscore_q1	Character	8	0	TRUE	zscore_q1 varchar(8) null																																																																																																																																																													
zscore_q2	Character	8	0	TRUE	zscore_q2 varchar(8) null																																																																																																																																																													
zscore_q3	Character	8	0	TRUE	zscore_q3 varchar(8) null																																																																																																																																																													
zscore_q4	Character	8	0	TRUE	zscore_q4 varchar(8) null																																																																																																																																																													
zscore_q5	Character	8	0	TRUE	zscore_q5 varchar(8) null																																																																																																																																																													
zscore_q6	Character	8	0	TRUE	zscore_q6 varchar(8) null																																																																																																																																																													
zscore_q7	Character	8	0	TRUE	zscore_q7 varchar(8) null																																																																																																																																																													
zscore_q8	Character	8	0	TRUE	zscore_q8 varchar(8) null																																																																																																																																																													
fscore_y2	Character	1	0	TRUE	fscore_y2 varchar(1) null																																																																																																																																																													
fscore_y3	Character	1	0	TRUE	fscore_y3 varchar(1) null																																																																																																																																																													
fscore_y4	Character	1	0	TRUE	fscore_y4 varchar(1) null																																																																																																																																																													
fscore_y5	Character	1	0	TRUE	fscore_y5 varchar(1) null																																																																																																																																																													
fscore_y6	Character	1	0	TRUE	fscore_y6 varchar(1) null																																																																																																																																																													
fscore_y7	Character	1	0	TRUE	fscore_y7 varchar(1) null																																																																																																																																																													
																																																																																																																																																																		
company_id varchar(8) null	gpm_12m varchar(6) null	gpm_y1 varchar(6) null	gpm_y2 varchar(6) null	gpm_y3 varchar(6) null	gpm_y4 varchar(6) null	gpm_y5 varchar(6) null	gpm_y6 varchar(6) null	gpm_y7 varchar(6) null	gpm_a5y varchar(6) null	opm_12m varchar(6) null	opm_y1 varchar(6) null	opm_y2 varchar(6) null	opm_y3 varchar(6) null	opm_y4 varchar(6) null	opm_y5 varchar(6) null	opm_y6 varchar(6) null	opm_y7 varchar(6) null	opm_a3y varchar(6) null	tie_12m varchar(6) null	tie_y1 varchar(6) null	tie_y2 varchar(6) null	tie_y3 varchar(6) null	tie_y4 varchar(6) null	tie_y5 varchar(6) null	tie_y6 varchar(6) null	tie_y7 varchar(6) null	arturn_12m varchar(6) null	arturn_y1 varchar(6) null	arturn_y2 varchar(6) null	arturn_y3 varchar(6) null	arturn_y4 varchar(6) null	arturn_y5 varchar(6) null	arturn_y6 varchar(6) null	arturn_y7 varchar(6) null	npm_12m varchar(6) null	npm_y1 varchar(6) null	npm_y2 varchar(6) null	npm_y3 varchar(6) null	npm_y4 varchar(6) null	npm_y5 varchar(6) null	npm_y6 varchar(6) null	npm_y7 varchar(6) null	payout_12m varchar(6) null	payout_y1 varchar(6) null	payout_y2 varchar(6) null	payout_y3 varchar(6) null	payout_y4 varchar(6) null	payout_y5 varchar(6) null	payout_y6 varchar(6) null	payout_y7 varchar(6) null	roa_12m varchar(6) null	roa_y1 varchar(6) null	roa_y2 varchar(6) null	roa_y3 varchar(6) null	roa_y4 varchar(6) null	roa_y5 varchar(6) null	roa_y6 varchar(6) null	roa_y7 varchar(6) null	roe_12m varchar(6) null	roe_y1 varchar(6) null	roe_y2 varchar(6) null	roe_y3 varchar(6) null	roe_y4 varchar(6) null	roe_y5 varchar(6) null	roe_y6 varchar(6) null	roe_y7 varchar(6) null	roe_a5y varchar(6) null	curr_q1 varchar(6) null	curr_y1 varchar(6) null	curr_y2 varchar(6) null	curr_y3 varchar(6) null	curr_y4 varchar(6) null	curr_y5 varchar(6) null	curr_y6 varchar(6) null	curr_y7 varchar(6) null	quick_q1 varchar(6) null	quick_y1 varchar(6) null	quick_y2 varchar(6) null	quick_y3 varchar(6) null	quick_y4 varchar(6) null	quick_y5 varchar(6) null	quick_y6 varchar(6) null	quick_y7 varchar(6) null	tl_ta_q1 varchar(6) null	tl_ta_y1 varchar(6) null	tl_ta_y2 varchar(6) null	tl_ta_y3 varchar(6) null	tl_ta_y4 varchar(6) null	tl_ta_y5 varchar(6) null	tl_ta_y6 varchar(6) null	tl_ta_y7 varchar(6) null	ltd_tc_q1 varchar(6) null	ltd_tc_y1 varchar(6) null	ltd_tc_y2 varchar(6) null	ltd_tc_y3 varchar(6) null	ltd_tc_y4 varchar(6) null	ltd_tc_y5 varchar(6) null	ltd_tc_y6 varchar(6) null	ltd_tc_y7 varchar(6) null	ltd_eq_q1 varchar(6) null	ltd_eq_y1 varchar(6) null	ltd_eq_y2 varchar(6) null	ltd_eq_y3 varchar(6) null	ltd_eq_y4 varchar(6) null	ltd_eq_y5 varchar(6) null	ltd_eq_y6 varchar(6) null	ltd_eq_y7 varchar(6) null	invtrn_12m varchar(6) null	invtrn_y1 varchar(6) null	invtrn_y2 varchar(6) null	invtrn_y3 varchar(6) null	invtrn_y4 varchar(6) null	invtrn_y5 varchar(6) null	invtrn_y6 varchar(6) null	invtrn_y7 varchar(6) null	ta_trn_12m varchar(6) null	ta_trn_y1 varchar(6) null	ta_trn_y2 varchar(6) null	ta_trn_y3 varchar(6) null	ta_trn_y4 varchar(6) null	ta_trn_y5 varchar(6) null	ta_trn_y6 varchar(6) null	ta_trn_y7 varchar(6) null	ltd_wc_q1 varchar(6) null	ptm_12m varchar(6) null	rdm_12m varchar(6) null	roe_a7y varchar(6) null	payout_a7y varchar(6) null	opm_a5y varchar(6) null	erbv varchar(7) null	fscore_12m varchar(1) null	fscore_y1 varchar(1) null	pr_bv_chg varchar(6) null	roic_y1 varchar(8) null	roic_y2 varchar(8) null	roic_y3 varchar(8) null	roic_y4 varchar(8) null	roic_y5 varchar(8) null	roic_a5y varchar(8) null	ldfcf12m varchar(8) null	repno varchar(5) not null	zscore_y1 varchar(8) null	zscore_y2 varchar(8) null	zscore_y3 varchar(8) null	zscore_y4 varchar(8) null	zscore_y5 varchar(8) null	zscore_y6 varchar(8) null	zscore_y7 varchar(8) null	zscore_q1 varchar(8) null	zscore_q2 varchar(8) null	zscore_q3 varchar(8) null	zscore_q4 varchar(8) null	zscore_q5 varchar(8) null	zscore_q6 varchar(8) null	zscore_q7 varchar(8) null	zscore_q8 varchar(8) null	fscore_y2 varchar(1) null	fscore_y3 varchar(1) null	fscore_y4 varchar(1) null	fscore_y5 varchar(1) null	fscore_y6 varchar(1) null	fscore_y7 varchar(1) null
