Name	Type	Width	Decimal	NULL																																																																																																																				
price_m083	Character	14	0	TRUE	price_m083 varchar(14) null																																																																																																																			
price_m084	Character	14	0	TRUE	price_m084 varchar(14) null																																																																																																																			
price_m085	Character	14	0	TRUE	price_m085 varchar(14) null																																																																																																																			
price_m086	Character	14	0	TRUE	price_m086 varchar(14) null																																																																																																																			
price_m087	Character	14	0	TRUE	price_m087 varchar(14) null																																																																																																																			
price_m088	Character	14	0	TRUE	price_m088 varchar(14) null																																																																																																																			
price_m089	Character	14	0	TRUE	price_m089 varchar(14) null																																																																																																																			
price_m090	Character	14	0	TRUE	price_m090 varchar(14) null																																																																																																																			
price_m091	Character	14	0	TRUE	price_m091 varchar(14) null																																																																																																																			
price_m092	Character	14	0	TRUE	price_m092 varchar(14) null																																																																																																																			
price_m093	Character	14	0	TRUE	price_m093 varchar(14) null																																																																																																																			
price_m094	Character	14	0	TRUE	price_m094 varchar(14) null																																																																																																																			
price_m095	Character	14	0	TRUE	price_m095 varchar(14) null																																																																																																																			
price_m096	Character	14	0	TRUE	price_m096 varchar(14) null																																																																																																																			
price_m097	Character	14	0	TRUE	price_m097 varchar(14) null																																																																																																																			
price_m098	Character	14	0	TRUE	price_m098 varchar(14) null																																																																																																																			
price_m099	Character	14	0	TRUE	price_m099 varchar(14) null																																																																																																																			
price_m100	Character	14	0	TRUE	price_m100 varchar(14) null																																																																																																																			
price_m101	Character	14	0	TRUE	price_m101 varchar(14) null																																																																																																																			
price_m102	Character	14	0	TRUE	price_m102 varchar(14) null																																																																																																																			
price_m103	Character	14	0	TRUE	price_m103 varchar(14) null																																																																																																																			
price_m104	Character	14	0	TRUE	price_m104 varchar(14) null																																																																																																																			
price_m105	Character	14	0	TRUE	price_m105 varchar(14) null																																																																																																																			
price_m106	Character	14	0	TRUE	price_m106 varchar(14) null																																																																																																																			
price_m107	Character	14	0	TRUE	price_m107 varchar(14) null																																																																																																																			
price_m108	Character	14	0	TRUE	price_m108 varchar(14) null																																																																																																																			
price_m109	Character	14	0	TRUE	price_m109 varchar(14) null																																																																																																																			
price_m110	Character	14	0	TRUE	price_m110 varchar(14) null																																																																																																																			
price_m111	Character	14	0	TRUE	price_m111 varchar(14) null																																																																																																																			
price_m112	Character	14	0	TRUE	price_m112 varchar(14) null																																																																																																																			
price_m113	Character	14	0	TRUE	price_m113 varchar(14) null																																																																																																																			
price_m114	Character	14	0	TRUE	price_m114 varchar(14) null																																																																																																																			
price_m115	Character	14	0	TRUE	price_m115 varchar(14) null																																																																																																																			
price_m116	Character	14	0	TRUE	price_m116 varchar(14) null																																																																																																																			
price_m117	Character	14	0	TRUE	price_m117 varchar(14) null																																																																																																																			
price_m118	Character	14	0	TRUE	price_m118 varchar(14) null																																																																																																																			
price_m119	Character	14	0	TRUE	price_m119 varchar(14) null																																																																																																																			
price_m120	Character	14	0	TRUE	price_m120 varchar(14) null																																																																																																																			
																																																																																																																								
company_id varchar(8) not null	price_m001 varchar(14) null	price_m002 varchar(14) null	price_m003 varchar(14) null	price_m004 varchar(14) null	price_m005 varchar(14) null	price_m006 varchar(14) null	price_m007 varchar(14) null	price_m008 varchar(14) null	price_m009 varchar(14) null	price_m010 varchar(14) null	price_m011 varchar(14) null	price_m012 varchar(14) null	price_m013 varchar(14) null	price_m014 varchar(14) null	price_m015 varchar(14) null	price_m016 varchar(14) null	price_m017 varchar(14) null	price_m018 varchar(14) null	price_m019 varchar(14) null	price_m020 varchar(14) null	price_m021 varchar(14) null	price_m022 varchar(14) null	price_m023 varchar(14) null	price_m024 varchar(14) null	price_m025 varchar(14) null	price_m026 varchar(14) null	price_m027 varchar(14) null	price_m028 varchar(14) null	price_m029 varchar(14) null	price_m030 varchar(14) null	price_m031 varchar(14) null	price_m032 varchar(14) null	price_m033 varchar(14) null	price_m034 varchar(14) null	price_m035 varchar(14) null	price_m036 varchar(14) null	price_m037 varchar(14) null	price_m038 varchar(14) null	price_m039 varchar(14) null	price_m040 varchar(14) null	price_m041 varchar(14) null	price_m042 varchar(14) null	price_m043 varchar(14) null	price_m044 varchar(14) null	price_m045 varchar(14) null	price_m046 varchar(14) null	price_m047 varchar(14) null	price_m048 varchar(14) null	price_m049 varchar(14) null	price_m050 varchar(14) null	price_m051 varchar(14) null	price_m052 varchar(14) null	price_m053 varchar(14) null	price_m054 varchar(14) null	price_m055 varchar(14) null	price_m056 varchar(14) null	price_m057 varchar(14) null	price_m058 varchar(14) null	price_m059 varchar(14) null	price_m060 varchar(14) null	price_m061 varchar(14) null	price_m062 varchar(14) null	price_m063 varchar(14) null	price_m064 varchar(14) null	price_m065 varchar(14) null	price_m066 varchar(14) null	price_m067 varchar(14) null	price_m068 varchar(14) null	price_m069 varchar(14) null	price_m070 varchar(14) null	price_m071 varchar(14) null	price_m072 varchar(14) null	price_m073 varchar(14) null	price_m074 varchar(14) null	price_m075 varchar(14) null	price_m076 varchar(14) null	price_m077 varchar(14) null	price_m078 varchar(14) null	price_m079 varchar(14) null	price_m080 varchar(14) null	price_m081 varchar(14) null	price_m082 varchar(14) null	price_m083 varchar(14) null	price_m084 varchar(14) null	price_m085 varchar(14) null	price_m086 varchar(14) null	price_m087 varchar(14) null	price_m088 varchar(14) null	price_m089 varchar(14) null	price_m090 varchar(14) null	price_m091 varchar(14) null	price_m092 varchar(14) null	price_m093 varchar(14) null	price_m094 varchar(14) null	price_m095 varchar(14) null	price_m096 varchar(14) null	price_m097 varchar(14) null	price_m098 varchar(14) null	price_m099 varchar(14) null	price_m100 varchar(14) null	price_m101 varchar(14) null	price_m102 varchar(14) null	price_m103 varchar(14) null	price_m104 varchar(14) null	price_m105 varchar(14) null	price_m106 varchar(14) null	price_m107 varchar(14) null	price_m108 varchar(14) null	price_m109 varchar(14) null	price_m110 varchar(14) null	price_m111 varchar(14) null	price_m112 varchar(14) null	price_m113 varchar(14) null	price_m114 varchar(14) null	price_m115 varchar(14) null	price_m116 varchar(14) null	price_m117 varchar(14) null	price_m118 varchar(14) null	price_m119 varchar(14) null	price_m120 varchar(14) null
