Name,Type,Width,Decimal,NULL,
rptid,Numeric,5,0,FALSE,"""decimal(5,0) not null"""
fld_order,Numeric,3,0,FALSE,"""decimal(3,0) not null"""
field_name,Character,19,0,FALSE,"""varchar(19) not null"""
,,,,,
"""decimal(5,0) not null""","""decimal(3,0) not null""","""varchar(19) not null""",,,
