Name	Type	Width	Decimal	NULL																																																																																																																																																																																																																																																								
gopinc_g3f	Numeric	6	1	TRUE	"gopinc_g3f decimal(6,1) null"																																																																																																																																																																																																																																																							
gopinc_g5f	Numeric	6	1	TRUE	"gopinc_g5f decimal(6,1) null"																																																																																																																																																																																																																																																							
gopinc_g7f	Numeric	6	1	TRUE	"gopinc_g7f decimal(6,1) null"																																																																																																																																																																																																																																																							
gopin_g1t	Numeric	6	1	TRUE	"gopin_g1t decimal(6,1) null"																																																																																																																																																																																																																																																							
netinc_g1f	Numeric	6	1	TRUE	"netinc_g1f decimal(6,1) null"																																																																																																																																																																																																																																																							
netinc_g3f	Numeric	6	1	TRUE	"netinc_g3f decimal(6,1) null"																																																																																																																																																																																																																																																							
netinc_g5f	Numeric	6	1	TRUE	"netinc_g5f decimal(6,1) null"																																																																																																																																																																																																																																																							
netinc_g7f	Numeric	6	1	TRUE	"netinc_g7f decimal(6,1) null"																																																																																																																																																																																																																																																							
netin_g1t	Numeric	6	1	TRUE	"netin_g1t decimal(6,1) null"																																																																																																																																																																																																																																																							
eps_g1f	Numeric	6	1	TRUE	"eps_g1f decimal(6,1) null"																																																																																																																																																																																																																																																							
eps_g3f	Numeric	6	1	TRUE	"eps_g3f decimal(6,1) null"																																																																																																																																																																																																																																																							
eps_g5f	Numeric	6	1	TRUE	"eps_g5f decimal(6,1) null"																																																																																																																																																																																																																																																							
eps_g7f	Numeric	6	1	TRUE	"eps_g7f decimal(6,1) null"																																																																																																																																																																																																																																																							
eps_g1t	Numeric	6	1	TRUE	"eps_g1t decimal(6,1) null"																																																																																																																																																																																																																																																							
epsc_g1f	Numeric	6	1	TRUE	"epsc_g1f decimal(6,1) null"																																																																																																																																																																																																																																																							
epsc_g3f	Numeric	6	1	TRUE	"epsc_g3f decimal(6,1) null"																																																																																																																																																																																																																																																							
epsc_g5f	Numeric	6	1	TRUE	"epsc_g5f decimal(6,1) null"																																																																																																																																																																																																																																																							
epsc_g7f	Numeric	6	1	TRUE	"epsc_g7f decimal(6,1) null"																																																																																																																																																																																																																																																							
epsc_g1t	Numeric	6	1	TRUE	"epsc_g1t decimal(6,1) null"																																																																																																																																																																																																																																																							
cfps_g1f	Numeric	6	1	TRUE	"cfps_g1f decimal(6,1) null"																																																																																																																																																																																																																																																							
cfps_g3f	Numeric	6	1	TRUE	"cfps_g3f decimal(6,1) null"																																																																																																																																																																																																																																																							
cfps_g5f	Numeric	6	1	TRUE	"cfps_g5f decimal(6,1) null"																																																																																																																																																																																																																																																							
cfps_g7f	Numeric	6	1	TRUE	"cfps_g7f decimal(6,1) null"																																																																																																																																																																																																																																																							
cfps_g1t	Numeric	6	1	TRUE	"cfps_g1t decimal(6,1) null"																																																																																																																																																																																																																																																							
fcfps_g1f	Numeric	6	1	TRUE	"fcfps_g1f decimal(6,1) null"																																																																																																																																																																																																																																																							
fcfps_g3f	Numeric	6	1	TRUE	"fcfps_g3f decimal(6,1) null"																																																																																																																																																																																																																																																							
fcfps_g5f	Numeric	6	1	TRUE	"fcfps_g5f decimal(6,1) null"																																																																																																																																																																																																																																																							
fcfps_g7f	Numeric	6	1	TRUE	"fcfps_g7f decimal(6,1) null"																																																																																																																																																																																																																																																							
fcfps_g1t	Numeric	6	1	TRUE	"fcfps_g1t decimal(6,1) null"																																																																																																																																																																																																																																																							
dps_g1f	Numeric	6	1	TRUE	"dps_g1f decimal(6,1) null"																																																																																																																																																																																																																																																							
dps_g3f	Numeric	6	1	TRUE	"dps_g3f decimal(6,1) null"																																																																																																																																																																																																																																																							
dps_g5f	Numeric	6	1	TRUE	"dps_g5f decimal(6,1) null"																																																																																																																																																																																																																																																							
dps_g7f	Numeric	6	1	TRUE	"dps_g7f decimal(6,1) null"																																																																																																																																																																																																																																																							
dps_g1t	Numeric	6	1	TRUE	"dps_g1t decimal(6,1) null"																																																																																																																																																																																																																																																							
sales_12m	Numeric	8	1	TRUE	"sales_12m decimal(8,1) null"																																																																																																																																																																																																																																																							
sales_y1	Numeric	8	1	TRUE	"sales_y1 decimal(8,1) null"																																																																																																																																																																																																																																																							
sales_y2	Numeric	8	1	TRUE	"sales_y2 decimal(8,1) null"																																																																																																																																																																																																																																																							
sales_y3	Numeric	8	1	TRUE	"sales_y3 decimal(8,1) null"																																																																																																																																																																																																																																																							
sales_y4	Numeric	8	1	TRUE	"sales_y4 decimal(8,1) null"																																																																																																																																																																																																																																																							
sales_y5	Numeric	8	1	TRUE	"sales_y5 decimal(8,1) null"																																																																																																																																																																																																																																																							
sales_y6	Numeric	8	1	TRUE	"sales_y6 decimal(8,1) null"																																																																																																																																																																																																																																																							
sales_y7	Numeric	8	1	TRUE	"sales_y7 decimal(8,1) null"																																																																																																																																																																																																																																																							
gpm_12m	Numeric	6	1	TRUE	"gpm_12m decimal(6,1) null"																																																																																																																																																																																																																																																							
gpm_y1	Numeric	6	1	TRUE	"gpm_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
gpm_y2	Numeric	6	1	TRUE	"gpm_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
gpm_y3	Numeric	6	1	TRUE	"gpm_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
gpm_y4	Numeric	6	1	TRUE	"gpm_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
gpm_y5	Numeric	6	1	TRUE	"gpm_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
gpm_y6	Numeric	6	1	TRUE	"gpm_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
gpm_y7	Numeric	6	1	TRUE	"gpm_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
gpm_a5y	Numeric	6	1	TRUE	"gpm_a5y decimal(6,1) null"																																																																																																																																																																																																																																																							
npm_12m	Numeric	6	1	TRUE	"npm_12m decimal(6,1) null"																																																																																																																																																																																																																																																							
npm_y1	Numeric	6	1	TRUE	"npm_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
npm_y2	Numeric	6	1	TRUE	"npm_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
npm_y3	Numeric	6	1	TRUE	"npm_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
npm_y4	Numeric	6	1	TRUE	"npm_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
npm_y5	Numeric	6	1	TRUE	"npm_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
npm_y6	Numeric	6	1	TRUE	"npm_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
npm_y7	Numeric	6	1	TRUE	"npm_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
payout_12m	Numeric	6	1	TRUE	"payout_12m decimal(6,1) null"																																																																																																																																																																																																																																																							
payout_y1	Numeric	6	1	TRUE	"payout_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
payout_y2	Numeric	6	1	TRUE	"payout_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
payout_y3	Numeric	6	1	TRUE	"payout_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
payout_y4	Numeric	6	1	TRUE	"payout_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
payout_y5	Numeric	6	1	TRUE	"payout_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
payout_y6	Numeric	6	1	TRUE	"payout_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
payout_y7	Numeric	6	1	TRUE	"payout_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
assets_q1	Numeric	8	1	TRUE	"assets_q1 decimal(8,1) null"																																																																																																																																																																																																																																																							
assets_y1	Numeric	8	1	TRUE	"assets_y1 decimal(8,1) null"																																																																																																																																																																																																																																																							
assets_y2	Numeric	8	1	TRUE	"assets_y2 decimal(8,1) null"																																																																																																																																																																																																																																																							
assets_y3	Numeric	8	1	TRUE	"assets_y3 decimal(8,1) null"																																																																																																																																																																																																																																																							
assets_y4	Numeric	8	1	TRUE	"assets_y4 decimal(8,1) null"																																																																																																																																																																																																																																																							
assets_y5	Numeric	8	1	TRUE	"assets_y5 decimal(8,1) null"																																																																																																																																																																																																																																																							
assets_y6	Numeric	8	1	TRUE	"assets_y6 decimal(8,1) null"																																																																																																																																																																																																																																																							
assets_y7	Numeric	8	1	TRUE	"assets_y7 decimal(8,1) null"																																																																																																																																																																																																																																																							
roa_12m	Numeric	6	1	TRUE	"roa_12m decimal(6,1) null"																																																																																																																																																																																																																																																							
roa_y1	Numeric	6	1	TRUE	"roa_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
roa_y2	Numeric	6	1	TRUE	"roa_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
roa_y3	Numeric	6	1	TRUE	"roa_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
roa_y4	Numeric	6	1	TRUE	"roa_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
roa_y5	Numeric	6	1	TRUE	"roa_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
roa_y6	Numeric	6	1	TRUE	"roa_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
roa_y7	Numeric	6	1	TRUE	"roa_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
roe_12m	Numeric	6	1	TRUE	"roe_12m decimal(6,1) null"																																																																																																																																																																																																																																																							
roe_y1	Numeric	6	1	TRUE	"roe_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
roe_y2	Numeric	6	1	TRUE	"roe_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
roe_y3	Numeric	6	1	TRUE	"roe_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
roe_y4	Numeric	6	1	TRUE	"roe_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
roe_y5	Numeric	6	1	TRUE	"roe_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
roe_y6	Numeric	6	1	TRUE	"roe_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
roe_y7	Numeric	6	1	TRUE	"roe_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
roe_a5y	Numeric	6	1	TRUE	"roe_a5y decimal(6,1) null"																																																																																																																																																																																																																																																							
curr_q1	Numeric	6	1	TRUE	"curr_q1 decimal(6,1) null"																																																																																																																																																																																																																																																							
curr_y1	Numeric	6	1	TRUE	"curr_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
curr_y2	Numeric	6	1	TRUE	"curr_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
curr_y3	Numeric	6	1	TRUE	"curr_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
curr_y4	Numeric	6	1	TRUE	"curr_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
curr_y5	Numeric	6	1	TRUE	"curr_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
curr_y6	Numeric	6	1	TRUE	"curr_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
curr_y7	Numeric	6	1	TRUE	"curr_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
quick_q1	Numeric	6	1	TRUE	"quick_q1 decimal(6,1) null"																																																																																																																																																																																																																																																							
quick_y1	Numeric	6	1	TRUE	"quick_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
quick_y2	Numeric	6	1	TRUE	"quick_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
quick_y3	Numeric	6	1	TRUE	"quick_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
quick_y4	Numeric	6	1	TRUE	"quick_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
quick_y5	Numeric	6	1	TRUE	"quick_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
quick_y6	Numeric	6	1	TRUE	"quick_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
quick_y7	Numeric	6	1	TRUE	"quick_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
tl_ta_q1	Numeric	6	1	TRUE	"tl_ta_q1 decimal(6,1) null"																																																																																																																																																																																																																																																							
