Name	Type	Width	Decimal	NULL																																																																																																																																																																																										
olta_y7	Character	10	0	TRUE	olta_y7 varchar(10) null																																																																																																																																																																																									
assets_y1	Character	10	0	TRUE	assets_y1 varchar(10) null																																																																																																																																																																																									
assets_y2	Character	10	0	TRUE	assets_y2 varchar(10) null																																																																																																																																																																																									
assets_y3	Character	10	0	TRUE	assets_y3 varchar(10) null																																																																																																																																																																																									
assets_y4	Character	10	0	TRUE	assets_y4 varchar(10) null																																																																																																																																																																																									
assets_y5	Character	10	0	TRUE	assets_y5 varchar(10) null																																																																																																																																																																																									
assets_y6	Character	10	0	TRUE	assets_y6 varchar(10) null																																																																																																																																																																																									
assets_y7	Character	10	0	TRUE	assets_y7 varchar(10) null																																																																																																																																																																																									
ap_y1	Character	10	0	TRUE	ap_y1 varchar(10) null																																																																																																																																																																																									
ap_y2	Character	10	0	TRUE	ap_y2 varchar(10) null																																																																																																																																																																																									
ap_y3	Character	10	0	TRUE	ap_y3 varchar(10) null																																																																																																																																																																																									
ap_y4	Character	10	0	TRUE	ap_y4 varchar(10) null																																																																																																																																																																																									
ap_y5	Character	10	0	TRUE	ap_y5 varchar(10) null																																																																																																																																																																																									
ap_y6	Character	10	0	TRUE	ap_y6 varchar(10) null																																																																																																																																																																																									
ap_y7	Character	10	0	TRUE	ap_y7 varchar(10) null																																																																																																																																																																																									
stdebt_y1	Character	10	0	TRUE	stdebt_y1 varchar(10) null																																																																																																																																																																																									
stdebt_y2	Character	10	0	TRUE	stdebt_y2 varchar(10) null																																																																																																																																																																																									
stdebt_y3	Character	10	0	TRUE	stdebt_y3 varchar(10) null																																																																																																																																																																																									
stdebt_y4	Character	10	0	TRUE	stdebt_y4 varchar(10) null																																																																																																																																																																																									
stdebt_y5	Character	10	0	TRUE	stdebt_y5 varchar(10) null																																																																																																																																																																																									
stdebt_y6	Character	10	0	TRUE	stdebt_y6 varchar(10) null																																																																																																																																																																																									
