Name	Type	Width	Decimal	NULL																																																																																										
shr_dq10	Character	8	0	TRUE	shr_dq10 varchar(8) null																																																																																									
shr_dy1	Character	8	0	TRUE	shr_dy1 varchar(8) null																																																																																									
shr_dy2	Character	8	0	TRUE	shr_dy2 varchar(8) null																																																																																									
shr_dy3	Character	8	0	TRUE	shr_dy3 varchar(8) null																																																																																									
shr_dy4	Character	8	0	TRUE	shr_dy4 varchar(8) null																																																																																									
shr_dy5	Character	8	0	TRUE	shr_dy5 varchar(8) null																																																																																									
shr_dy6	Character	8	0	TRUE	shr_dy6 varchar(8) null																																																																																									
shr_dy7	Character	8	0	TRUE	shr_dy7 varchar(8) null																																																																																									
shr_dy8	Character	8	0	TRUE	shr_dy8 varchar(8) null																																																																																									
shr_dy9	Character	8	0	TRUE	shr_dy9 varchar(8) null																																																																																									
shr_dy10	Character	8	0	TRUE	shr_dy10 varchar(8) null																																																																																									
shr_dy11	Character	8	0	TRUE	shr_dy11 varchar(8) null																																																																																									
																																																																																														
company_id varchar(8) not null	split_date date null	split_fact varchar(11) null	price_date date null	price varchar(14) null	priceh_52w varchar(14) null	pricel_52w varchar(14) null	pr_prh_52w varchar(5) null	prchg_04w varchar(9) null	prchg_13w varchar(9) null	prchg_26w varchar(9) null	prchg_52w varchar(9) null	rs_04w varchar(8) null	rs_13w varchar(8) null	rs_26w varchar(8) null	rs_52w varchar(8) null	rsw_4q varchar(5) null	shr_aq1 varchar(8) null	shr_aq2 varchar(8) null	shr_aq3 varchar(8) null	shr_aq4 varchar(8) null	shr_aq5 varchar(8) null	shr_aq6 varchar(8) null	shr_aq7 varchar(8) null	shr_aq8 varchar(8) null	shr_ay1 varchar(8) null	shr_ay2 varchar(8) null	shr_ay3 varchar(8) null	shr_ay4 varchar(8) null	shr_ay5 varchar(8) null	shr_ay6 varchar(8) null	shr_ay7 varchar(8) null	avm_03m varchar(10) null	avd_10d varchar(10) null	shsperadr varchar(10) null	shrinst varchar(5) null	shrinstn varchar(9) null	instps varchar(10) null	instss varchar(10) null	shrinsd varchar(5) null	insdps varchar(10) null	insdpt varchar(9) null	insdss varchar(10) null	insdst varchar(9) null	float varchar(10) null	beta varchar(6) null	mktcap varchar(8) null	prchg_am3y varchar(7) null	prchg_sd3y varchar(7) null	prchg_gm3y varchar(7) null	insdns varchar(10) null	ins_pr_shr varchar(6) null	prp_2yh varchar(7) null	dd_a3m varchar(10) null	shr_ay8 varchar(8) null	rps_6m varchar(10) null	repno varchar(5) not null	lastmod date not null	updated bit not null	mktcap_q1 varchar(8) null	mktcap_q2 varchar(8) null	mktcap_q3 varchar(8) null	mktcap_q4 varchar(8) null	mktcap_q5 varchar(8) null	mktcap_q6 varchar(8) null	mktcap_q7 varchar(8) null	mktcap_q8 varchar(8) null	mktcap_y1 varchar(8) null	mktcap_y2 varchar(8) null	mktcap_y3 varchar(8) null	mktcap_y4 varchar(8) null	mktcap_y5 varchar(8) null	mktcap_y6 varchar(8) null	mktcap_y7 varchar(8) null	shr_dq1 varchar(8) null	shr_dq2 varchar(8) null	shr_dq3 varchar(8) null	shr_dq4 varchar(8) null	shr_dq5 varchar(8) null	shr_dq6 varchar(8) null	shr_dq7 varchar(8) null	shr_dq8 varchar(8) null	shr_dq9 varchar(8) null	shr_dq10 varchar(8) null	shr_dy1 varchar(8) null	shr_dy2 varchar(8) null	shr_dy3 varchar(8) null	shr_dy4 varchar(8) null	shr_dy5 varchar(8) null	shr_dy6 varchar(8) null	shr_dy7 varchar(8) null	shr_dy8 varchar(8) null	shr_dy9 varchar(8) null	shr_dy10 varchar(8) null	shr_dy11 varchar(8) null
